(-3260.000000,500.000000,3.141593,-968.5,-0.000335498285111,968.500000)
(-3310.000000,500.000000,3.141593,-903.5,-0.000312981621681,903.500000)
(-3360.000000,500.000000,3.141593,-838.5,-0.00029046495825,838.500000)
(-3406.980000,500.000000,3.122796,-779.862211524,14.6605264691,780.000000)
(-3456.686081,504.685428,2.953623,-766.260814623,145.754464679,780.000000)
(-3504.641077,518.576650,2.765653,-725.527172659,286.374443226,780.000000)
(-3549.155592,541.184295,2.577683,-659.23407184,416.905790948,780.000000)
(-3588.661434,571.711924,2.389713,-569.716939211,532.750043806,780.000000)
(-3621.766861,609.084085,2.201743,-478.534531097,655.019192503,811.200000)
(-3647.305608,651.984202,2.013773,-369.994041032,779.88374108,863.200000)
(-3664.377977,698.900957,1.825803,-230.860907804,885.603907652,915.200000)
(-3672.382528,748.181530,1.637833,-64.7893185823,965.027556186,967.200000)
(-3672.962355,796.149995,1.570208,0.599622634768,1019.19982361,1019.200000)
(-3672.932947,846.149986,1.570208,0.630215626337,1071.19981461,1071.200000)
(-3672.903538,896.149978,1.570208,0.660808617907,1123.19980561,1123.200000)
(-3672.874130,946.149969,1.570208,0.691401609477,1175.19979661,1175.200000)
(-3672.844722,996.149960,1.570208,0.721994601047,1227.19978762,1227.200000)
(-3672.815314,1046.149952,1.570208,0.752587592616,1279.19977862,1279.200000)
(-3672.785905,1096.149943,1.570208,0.783180584186,1331.19976962,1331.200000)
(-3672.756497,1146.149934,1.570208,0.813773575756,1383.19976062,1383.200000)
(-3672.736000,1191.200000,1.568550,3.22392550472,1435.196379,1435.200000)
(-3672.283840,1241.197431,1.553550,25.6474657529,1486.97883223,1487.200000)
(-3671.004994,1291.180495,1.536883,52.189387305,1538.3149573,1539.200000)
(-3668.893314,1341.135304,1.520216,80.4491026667,1589.16499517,1591.200000)
(-3665.949385,1391.047982,1.503550,110.41590222,1639.48606842,1643.200000)
(-3662.174025,1440.904665,1.486883,142.08298954,1689.23517134,1695.200000)
(-3657.568284,1490.691503,1.470216,175.437797601,1738.36975905,1747.200000)
(-3652.133440,1540.394668,1.453550,210.466613092,1786.84762774,1799.200000)
(-3645.871003,1590.000353,1.436883,242.994471406,1803.70554328,1820.000000)
(-3638.782713,1639.494780,1.420216,273.021690083,1799.40522305,1820.000000)
(-3630.870538,1688.864200,1.403550,302.971273518,1794.60536259,1820.000000)
(-3622.136677,1738.094900,1.386883,332.838496254,1789.30671921,1820.000000)
(-3612.583555,1787.173204,1.370216,362.613262293,1783.51103782,1820.000000)
(-3602.213826,1836.085481,1.353550,392.285523509,1777.22032063,1820.000000)
(-3591.030370,1884.818144,1.336883,421.8505982,1770.43556019,1820.000000)
(-3579.036294,1933.357657,1.320216,451.298490193,1763.15900382,1820.000000)
(-3567.921763,1975.579246,1.308992,471.059344761,1757.98267731,1820.000000)
(-3554.980577,2023.875474,1.308992,471.059344761,1757.98267731,1820.000000)
(-3542.039391,2072.171703,1.308992,471.059344761,1757.98267731,1820.000000)
(-3529.098204,2120.467932,1.308992,471.059344761,1757.98267731,1820.000000)
(-3516.157018,2168.764160,1.308992,471.059344761,1757.98267731,1820.000000)
(-3503.215832,2217.060389,1.308992,471.059344761,1757.98267731,1820.000000)
(-3490.274646,2265.356618,1.308992,471.059344761,1757.98267731,1820.000000)
(-3477.333460,2313.652846,1.308992,471.059344761,1757.98267731,1820.000000)
(-3464.888665,2360.068259,1.307329,474.816358223,1760.28929054,1823.202940)
(-3451.465517,2408.232159,1.290663,508.664447074,1768.04579917,1839.762340)
(-3437.241539,2456.165661,1.273996,542.903447242,1775.15809137,1856.321740)
